"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"65-69","male","low","low","low","low","mid","high",0.434593811622512
"70-79","male","mid","low","mid","high","mid","low",0.434367496244046
"80+","male","low","low","high","high","low","high",0.434102057675365
"80+","male","low","low","mid","low","low","high",0.433959031186986
"80+","male","low","low","high","mid","mid","mid",0.433380098183081
"70-79","male","low","low","high","low","low","mid",0.432631473674091
"80+","female","low","low","high","high","high","mid",0.432110672449369
"80+","male","high","mid","low","high","high","low",0.432046663736712
"80+","female","low","low","mid","low","high","mid",0.431967801242635
"80+","female","low","low","low","low","low","high",0.431235601269258
"80+","male","mid","low","mid","high","high","low",0.430738941970177
"65-69","male","mid","high","low","high","high","low",0.430714187796533
"80+","male","low","mid","high","high","low","low",0.430587848551437
"80+","male","low","mid","mid","low","low","low",0.430445099204991
"65-69","male","mid","low","mid","low","high","low",0.42973738218491
"80+","male","low","high","low","high","mid","high",0.429378149071933
"65-69","female","low","low","high","low","mid","low",0.429232047792679
"70-79","male","low","mid","low","mid","mid","low",0.429120846291749
"70-79","male","mid","low","low","mid","mid","high",0.429089013388577
"70-79","male","high","low","low","mid","high","low",0.426721858359093
"80+","male","high","low","high","low","mid","mid",0.426199737564279
"65-69","female","low","low","low","high","low","low",0.426105294674281
"65-69","male","low","low","low","mid","low","mid",0.425708634717905
"80+","male","mid","low","low","mid","high","high",0.425471385552937
"65-69","male","low","low","high","mid","high","low",0.425202889282819
"65-69","female","mid","low","low","high","mid","low",0.425169859724153
"80+","male","mid","low","mid","low","low","mid",0.424802681005774
"65-69","male","mid","low","low","mid","mid","mid",0.424773426035405
"70-79","male","mid","low","low","high","low","high",0.424689110158969
"70-79","male","low","mid","low","high","high","high",0.424368371225304
"80+","female","mid","mid","low","mid","mid","low",0.423899127536702
"70-79","male","low","mid","high","low","mid","low",0.423207651932108
"70-79","female","low","low","mid","mid","mid","low",0.422495416672907
"70-79","female","low","mid","low","high","low","low",0.422469730732034
"80+","female","high","low","low","low","high","low",0.422343224850671
"80+","male","high","low","low","high","low","high",0.421860483407654
"70-79","male","mid","mid","low","high","low","low",0.421194386128101
"65-69","male","low","mid","low","mid","mid","low",0.420941954991522
"70-79","female","low","low","high","high","high","low",0.420824316213085
"70-79","female","low","low","mid","low","high","low",0.420682412321477
"70-79","male","high","low","low","low","mid","low",0.420262830347517
"70-79","male","mid","mid","low","high","high","mid",0.420044614039555
"80+","female","high","low","low","high","high","mid",0.419883587840031
"65-69","male","low","low","high","low","low","mid",0.419807883102965
"80+","male","low","high","low","low","low","low",0.419700849908041
"80+","male","low","low","high","high","high","high",0.419369046454123
"80+","male","low","low","mid","low","high","high",0.419227278083509
"80+","female","low","low","mid","mid","mid","mid",0.418386571864151
"80+","male","high","mid","low","high","low","low",0.418372108958047
"80+","male","mid","mid","low","high","mid","mid",0.418042268912735
"80+","female","low","mid","mid","mid","high","low",0.417874543605376
"80+","female","low","mid","high","high","mid","low",0.417802939898978
"80+","female","low","mid","mid","low","mid","low",0.41766132012562
"65-69","male","low","low","high","high","high","mid",0.417578119718966
"70-79","male","low","high","low","high","low","low",0.417534621111321
"65-69","male","low","low","mid","low","high","mid",0.417436521511671
"80+","female","mid","high","low","mid","high","low",0.416950278646182
"80+","female","low","low","low","low","high","high",0.416528268529287
"80+","female","mid","low","low","low","mid","mid",0.41636902864597
"80+","female","mid","mid","low","low","high","low",0.41585770406386
"65-69","male","mid","low","low","high","low","mid",0.415769915214679
"65-69","female","low","low","low","mid","high","low",0.4152776717615
"65-69","male","low","mid","high","low","mid","low",0.415059522659998
"65-69","male","low","low","low","low","high","high",0.414712522025315
"65-69","male","high","mid","low","high","high","low",0.414520600205127
"80+","female","mid","low","high","high","mid","low",0.414505323834688
"80+","male","low","low","mid","high","low","mid",0.414383939555507
"80+","female","high","low","mid","low","mid","low",0.413977968131648
"70-79","male","mid","low","mid","low","mid","mid",0.41373771437877
"70-79","female","mid","low","low","low","high","low",0.413647065959863
"80+","female","mid","mid","low","high","high","mid",0.413408806464611
"70-79","male","low","low","high","high","low","low",0.413229661168873
"70-79","male","low","low","mid","low","low","low",0.413088491668281
"70-79","male","mid","low","high","low","high","low",0.413075503424309
"70-79","female","mid","mid","low","high","mid","low",0.412280762285874
"70-79","male","high","low","high","low","mid","mid",0.411502785567072
"70-79","female","mid","low","low","high","high","mid",0.411202022443174
"80+","male","mid","high","low","high","high","mid",0.411120914643443
"65-69","male","mid","mid","low","high","mid","low",0.411034870800711
"80+","female","low","high","high","high","high","low",0.410882750456319
"80+","female","low","high","mid","low","high","low",0.410741821481066
"80+","male","low","high","low","low","mid","low",0.410721412966095
"80+","male","mid","low","mid","low","high","mid",0.410156529721327
"70-79","male","mid","low","mid","mid","high","low",0.40963147229837
"65-69","male","high","low","low","high","mid","high",0.409559136359145
"65-69","female","low","low","high","low","high","low",0.409418428582092
"80+","male","low","mid","low","mid","mid","mid",0.409286519299497
"70-79","female","low","low","low","mid","mid","mid",0.40926017310166
"70-79","male","low","high","low","high","mid","mid",0.409133500639135
"80+","female","high","low","high","high","low","low",0.408903366121473
"70-79","female","high","low","low","mid","mid","low",0.40796834708646
"70-79","female","low","low","low","low","low","low",0.40735291813238
"80+","male","high","low","low","high","high","high",0.407243951776147
"80+","male","high","low","high","high","mid","low",0.406879514221146
"70-79","male","low","high","low","mid","high","low",0.406859054851707
"70-79","male","mid","low","low","low","low","low",0.40609112003876
"70-79","male","low","mid","low","low","high","low",0.405774520213996
"80+","male","low","low","mid","mid","mid","high",0.405760480010325
"80+","female","high","mid","low","high","mid","low",0.405691487837941
"65-69","female","mid","low","low","high","high","low",0.405410565011272
"65-69","male","mid","low","low","mid","high","mid",0.40501957390102
"70-79","female","low","low","low","high","low","mid",0.40491938664994
"65-69","male","low","high","low","high","low","low",0.404839217661253
"80+","female","low","mid","low","mid","high","mid",0.404682618939808
"80+","female","low","mid","mid","mid","low","low",0.404329215461645
"70-79","male","low","low","mid","high","high","low",0.404287294641585
"80+","male","mid","low","low","low","mid","high",0.403761555008481
"70-79","female","high","low","low","high","low","low",0.403631900426572
"80+","male","low","mid","high","low","mid","mid",0.403453481279612
"70-79","female","low","low","high","low","mid","mid",0.403427254127629
"80+","male","high","low","low","low","low","low",0.403299529372097
"70-79","female","low","low","low","high","high","high",0.402928678942422
"80+","male","low","high","low","mid","high","mid",0.402409890299207
"80+","female","mid","mid","low","low","low","low",0.402332567526994
"70-79","male","high","mid","low","high","high","low",0.402058139207731
"80+","male","low","low","high","mid","low","mid",0.4016732947072
"80+","male","low","mid","low","low","high","mid",0.401329190925126
"65-69","male","low","high","low","high","mid","mid",0.401067925581398
"70-79","male","low","high","high","low","high","low",0.401037125360964
"80+","male","mid","mid","low","high","high","high",0.400829407553755
"65-69","male","low","low","high","high","low","low",0.400575133157126
"65-69","male","low","low","mid","low","low","low",0.400435336501936
"80+","male","mid","low","high","low","mid","mid",0.400191271414449
"80+","female","low","mid","low","high","mid","high",0.399947062795828
"80+","female","mid","mid","low","high","low","mid",0.399908789804013
"80+","male","low","low","mid","high","high","mid",0.39984729492382
"80+","female","low","mid","high","low","high","mid",0.398870889839557
"80+","female","high","high","low","high","high","low",0.398834478946739
"80+","male","mid","low","mid","mid","mid","mid",0.396782041392796
"80+","male","low","high","high","low","high","mid",0.396609055663665
"80+","male","high","low","high","low","low","mid",0.394652369353662
"80+","female","mid","low","low","mid","mid","high",0.394632541510667
"70-79","female","mid","low","high","low","mid","low",0.394509009336922
"80+","female","high","low","high","high","high","low",0.394429488532517
"70-79","female","mid","low","low","mid","low","low",0.393929512007211
"70-79","female","low","mid","low","mid","high","low",0.393616109778754
"65-69","male","mid","low","high","low","mid","low",0.393280885479237
"80+","female","low","high","low","high","high","high",0.393122921679626
"70-79","male","high","low","high","high","mid","low",0.392393191971743
"70-79","male","mid","mid","low","mid","high","low",0.392368691153085
"80+","male","low","mid","low","mid","high","high",0.392191216524743
"80+","female","mid","low","mid","low","mid","mid",0.392016454718198
"70-79","male","low","low","high","mid","high","low",0.39167921241325
"80+","female","mid","mid","mid","low","high","low",0.391514974515044
"65-69","male","low","high","low","high","high","high",0.391340772396017
"80+","female","low","mid","low","mid","low","mid",0.391277482637342
